LearnerID,Grade,SocioEconomicIndicator,LearningBarrier,Subject,Term,Mark,Attendance,TeacherNotes
CH-L2021001,7,Medium,False,English,1,75,95.99,Quiet but consistent.
CH-L2021001,7,Medium,False,English,2,77,93.06,Steady progress. Struggles with core concepts.
CH-L2021001,7,Medium,False,English,3,75,91.17,Steady progress.
CH-L2021001,7,Medium,False,Maths,1,71,86.67,Benefits from one-on-one attention. Benefits from one-on-one attention.
CH-L2021001,7,Medium,False,Maths,2,85,88.77,Benefits from one-on-one attention. Easily distracted.
CH-L2021001,7,Medium,False,Maths,3,78,92.19,Steady progress. Completes all assigned work.
CH-L2021001,7,Medium,False,Science,1,79,92.18,Completes all assigned work.
CH-L2021001,7,Medium,False,Science,2,71,96.55,Completes all assigned work. Steady progress.
CH-L2021001,7,Medium,False,Science,3,75,92.3,Quiet but consistent.
CH-L2021001,7,Medium,False,Life Skills,1,72,93.26,Benefits from one-on-one attention.
CH-L2021001,7,Medium,False,Life Skills,2,75,84.26,Easily distracted.
CH-L2021001,7,Medium,False,Life Skills,3,71,87.37,Completes all assigned work. Often submits work late.
CH-L2021001,7,Medium,False,Afrikaans,1,65,96.66,Steady progress.
CH-L2021001,7,Medium,False,Afrikaans,2,64,92.42,Quiet but consistent.
CH-L2021001,7,Medium,False,Afrikaans,3,63,87.8,Completes all assigned work. Needs encouragement to participate.
CH-L2018002,6,Medium,False,English,1,86,90.64,Engages well in class.
CH-L2018002,6,Medium,False,English,2,84,92.63,Quiet but consistent.
CH-L2018002,6,Medium,False,English,3,73,99.93,Steady progress. Steady progress.
CH-L2018002,6,Medium,False,Maths,1,69,91.14,Completes all assigned work.
CH-L2018002,6,Medium,False,Maths,2,77,92.16,Completes all assigned work.
CH-L2018002,6,Medium,False,Maths,3,77,87.58,Benefits from one-on-one attention. Often submits work late.
CH-L2018002,6,Medium,False,Science,1,79,100.0,Benefits from one-on-one attention.
CH-L2018002,6,Medium,False,Science,2,90,92.86,A pleasure to teach.
CH-L2018002,6,Medium,False,Science,3,81,85.17,Benefits from one-on-one attention.
CH-L2018002,6,Medium,False,Life Skills,1,76,95.28,Steady progress. Attendance is a concern.
CH-L2018002,6,Medium,False,Life Skills,2,79,98.76,Benefits from one-on-one attention.
CH-L2018002,6,Medium,False,Life Skills,3,77,84.13,Struggles with core concepts. Steady progress.
CH-L2018002,6,Medium,False,Afrikaans,1,81,89.6,Completes all assigned work.
CH-L2018002,6,Medium,False,Afrikaans,2,80,91.88,Benefits from one-on-one attention. Attendance is a concern.
CH-L2018002,6,Medium,False,Afrikaans,3,86,100.0,Excellent grasp of concepts.
CH-L2020003,4,Low,True,English,1,53,92.64,Quiet but consistent.
CH-L2020003,4,Low,True,English,2,57,78.63,Needs encouragement to participate.
CH-L2020003,4,Low,True,English,3,54,88.21,Benefits from one-on-one attention. Often submits work late.
CH-L2020003,4,Low,True,Maths,1,62,85.59,Quiet but consistent. Benefits from one-on-one attention.
CH-L2020003,4,Low,True,Maths,2,71,87.04,Quiet but consistent. Often submits work late.
CH-L2020003,4,Low,True,Maths,3,71,90.0,Benefits from one-on-one attention. Often submits work late.
CH-L2020003,4,Low,True,Science,1,77,87.99,Quiet but consistent. Completes all assigned work.
CH-L2020003,4,Low,True,Science,2,71,87.06,Steady progress.
CH-L2020003,4,Low,True,Science,3,78,94.87,Completes all assigned work.
CH-L2020003,4,Low,True,Life Skills,1,62,87.72,Benefits from one-on-one attention. Benefits from one-on-one attention.
CH-L2020003,4,Low,True,Life Skills,2,66,82.93,Struggles with core concepts. Steady progress.
CH-L2020003,4,Low,True,Life Skills,3,68,83.13,Often submits work late.
CH-L2020003,4,Low,True,Afrikaans,1,63,96.12,Steady progress.
CH-L2020003,4,Low,True,Afrikaans,2,67,91.79,Completes all assigned work.
CH-L2020003,4,Low,True,Afrikaans,3,76,84.57,Often submits work late.
CH-L2018004,4,Medium,False,English,1,63,94.45,Steady progress.
CH-L2018004,4,Medium,False,English,2,63,88.81,Steady progress. Quiet but consistent.
CH-L2018004,4,Medium,False,English,3,58,85.98,Benefits from one-on-one attention.
CH-L2018004,4,Medium,False,Maths,1,57,91.03,Completes all assigned work. Attendance is a concern.
CH-L2018004,4,Medium,False,Maths,2,66,90.09,Quiet but consistent.
CH-L2018004,4,Medium,False,Maths,3,74,93.99,Quiet but consistent. Often submits work late.
CH-L2018004,4,Medium,False,Science,1,52,100.0,Quiet but consistent.
CH-L2018004,4,Medium,False,Science,2,61,85.79,Benefits from one-on-one attention. Benefits from one-on-one attention.
